country,year,gdp_growth,inflation,unemployment,trade_openness,gov_spending_gdp,population_m
Portugal,2015,1.8,0.5,12.6,80.5,48.2,10.4
Portugal,2016,2.0,0.6,11.2,80.8,45.1,10.3
Portugal,2017,3.5,1.6,8.9,83.2,45.4,10.3
Portugal,2018,2.8,1.2,7.0,85.1,43.2,10.3
Portugal,2019,2.7,0.3,6.5,85.8,42.5,10.3
Portugal,2020,-8.3,-0.1,7.0,73.4,48.5,10.3
Portugal,2021,5.5,1.3,6.6,79.2,46.8,10.3
Portugal,2022,6.8,8.1,6.0,86.5,44.9,10.4
Portugal,2023,2.3,5.3,6.5,84.2,44.1,10.4
Portugal,2024,1.9,2.8,6.4,85.0,43.8,10.4
Spain,2015,3.8,0.0,22.1,63.2,43.8,46.4
Spain,2016,3.0,0.3,19.6,63.8,42.2,46.4
Spain,2017,3.0,2.0,17.2,66.1,41.2,46.6
Spain,2018,2.3,1.7,15.3,67.4,41.3,46.7
Spain,2019,2.1,0.8,14.1,66.0,42.1,47.0
Spain,2020,-11.2,-0.3,15.5,57.9,52.3,47.3
Spain,2021,6.4,3.1,14.8,63.7,50.6,47.4
Spain,2022,5.8,8.3,12.9,70.2,47.9,47.6
Spain,2023,2.5,3.4,12.1,68.5,47.2,48.0
Spain,2024,2.4,2.9,11.3,69.1,46.5,48.2
Germany,2015,1.5,0.7,4.6,86.0,43.7,81.7
Germany,2016,2.2,0.4,4.2,84.4,43.9,82.3
Germany,2017,2.7,1.7,3.8,86.9,43.7,82.7
Germany,2018,1.0,1.9,3.4,87.2,43.9,83.0
Germany,2019,1.1,1.4,3.1,84.8,45.2,83.1
Germany,2020,-3.7,0.4,3.8,78.5,51.1,83.2
Germany,2021,3.2,3.2,3.6,84.1,50.9,83.2
Germany,2022,1.8,8.7,3.1,92.7,49.4,84.1
Germany,2023,-0.1,5.9,3.0,88.4,48.6,84.5
Germany,2024,0.2,2.4,3.3,87.5,48.1,84.7
France,2015,1.0,0.1,10.4,62.3,56.8,66.5
France,2016,1.0,0.3,10.1,62.0,56.4,66.7
France,2017,2.4,1.2,9.4,63.5,56.0,66.9
France,2018,1.9,2.1,9.1,65.0,55.6,67.0
France,2019,1.9,1.3,8.4,63.3,55.4,67.2
France,2020,-7.5,0.5,8.0,55.1,61.3,67.3
France,2021,6.4,2.1,7.9,60.4,59.1,67.4
France,2022,2.5,5.9,7.3,67.0,57.7,67.6
France,2023,0.9,5.7,7.3,65.2,57.0,67.8
France,2024,1.1,2.3,7.5,64.8,56.5,68.0
Italy,2015,0.8,-0.1,11.9,56.4,50.3,60.7
Italy,2016,1.3,-0.1,11.7,56.2,49.1,60.6
Italy,2017,1.7,1.3,11.2,59.0,48.7,60.5
Italy,2018,0.9,1.2,10.6,61.2,48.4,60.4
Italy,2019,0.5,0.6,10.0,60.3,48.6,60.3
Italy,2020,-9.0,-0.1,9.3,52.5,57.0,59.6
Italy,2021,7.0,1.9,9.5,59.1,56.8,59.2
Italy,2022,3.7,8.7,8.1,67.8,55.2,59.0
Italy,2023,0.7,5.9,7.6,64.1,55.7,58.9
Italy,2024,0.5,1.0,6.9,63.5,55.0,58.8
